Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 73.0.3683.103,,2019-04-13 11:32:31,2019-04-13 11:32:44,13.436s,PASSED
,,,,,,
Test Cases/April13/DemoTest,Chrome 73.0.3683.103,,2019-04-13 11:32:31,2019-04-13 11:32:44,12.983s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-13 11:32:32,2019-04-13 11:32:37,4.911s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 73.0.3683.103,,2019-04-13 11:32:37,2019-04-13 11:32:37,0.950s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 73.0.3683.103,,2019-04-13 11:32:37,2019-04-13 11:32:38,0.443s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 73.0.3683.103,,2019-04-13 11:32:38,2019-04-13 11:32:39,1.187s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 73.0.3683.103,,2019-04-13 11:32:39,2019-04-13 11:32:43,3.771s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 73.0.3683.103,,2019-04-13 11:32:43,2019-04-13 11:32:43,0.295s,PASSED
closeBrowser(),Chrome 73.0.3683.103,,2019-04-13 11:32:43,2019-04-13 11:32:44,0.767s,PASSED
